Id,BIRTHDATE,DEATHDATE,SSN,FIRST,LAST,GENDER,RACE,ETHNICITY,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
213f7754-6350-4678-bf5c-0b71a91478fd,1935-04-14,,847-44-7190,James,Garcia,M,white,nonhispanic,"Synthetic City, ST",971 Main St,Synthetic City,ST,58506,12831.819482886343,18436.858260310884
fcc33580-2e4e-463d-a137-5aa0d3014ed1,1937-10-08,,806-49-1326,Richard,Smith,M,asian,nonhispanic,"Synthetic City, ST",4105 Main St,Synthetic City,ST,68588,2343.542980817701,46882.39758753361
96ceb0d4-6107-43eb-a5f0-313cc6b8a33b,2007-03-22,,250-50-5152,Mary,Miller,F,hispanic,nonhispanic,"Synthetic City, ST",1922 Main St,Synthetic City,ST,35592,1948.40227291048,52602.60364134894
a436ac02-8ba4-4f88-9e8d-e856d184b404,1935-03-21,,129-74-5413,Linda,Garcia,F,white,hispanic,"Synthetic City, ST",9884 Main St,Synthetic City,ST,15049,7335.559633508905,29453.505530118575
6ce7c56e-5f28-458c-8af2-30ad52c53f3d,2007-07-12,,724-18-7663,Patricia,Johnson,F,asian,nonhispanic,"Synthetic City, ST",8021 Main St,Synthetic City,ST,52422,6091.371767972686,4907.208481101077
cd2c6044-25e6-4e31-a7e7-524f51054b23,1935-09-27,,621-94-4594,David,Johnson,M,white,nonhispanic,"Synthetic City, ST",2858 Main St,Synthetic City,ST,52215,2955.988193060061,85150.76620735036
97438944-e420-4a6b-a7a9-e11cb3aa5eab,2007-06-02,,490-14-8371,Mary,Garcia,F,black,nonhispanic,"Synthetic City, ST",1923 Main St,Synthetic City,ST,24775,1108.7295159875423,31659.042485884427
f80427ef-1654-4769-bce8-4343b58a56c6,1935-04-16,,531-66-8421,Jennifer,Jones,F,white,nonhispanic,"Synthetic City, ST",6736 Main St,Synthetic City,ST,28055,1172.920817890165,14583.888012923573
6371c8bf-8ae2-4319-b480-0e2e861d905e,2007-03-16,,711-56-7075,Patricia,Brown,F,hispanic,nonhispanic,"Synthetic City, ST",5580 Main St,Synthetic City,ST,91940,3743.5984347509543,39306.5067091629
53a07afa-dc80-40f9-b241-eb9b1efc108c,1965-07-04,,815-76-9891,Michael,Williams,M,white,nonhispanic,"Synthetic City, ST",5804 Main St,Synthetic City,ST,75724,6743.4587719190085,55952.99699235268
e8f0cb62-6fe2-4038-8493-d4cd0c0828bc,1965-09-13,,615-41-4275,Mary,Smith,F,black,hispanic,"Synthetic City, ST",4014 Main St,Synthetic City,ST,39449,5237.75983392598,84824.07012632341
2daa522b-46e2-4d23-94de-87b37b383a3e,2007-01-07,,151-95-6337,Elizabeth,Smith,F,white,nonhispanic,"Synthetic City, ST",3125 Main St,Synthetic City,ST,98006,2789.1535668611314,91971.97290368089
8a43ea9a-a54a-4cea-a2cd-2a1862353109,2007-09-12,,510-20-8231,Richard,Jones,M,black,nonhispanic,"Synthetic City, ST",8679 Main St,Synthetic City,ST,68596,1544.7945203546876,45370.36783982531
aaeccb3a-dff0-47ce-8497-bcabbd00e9ac,2007-12-09,,621-35-2596,Linda,Jones,F,white,hispanic,"Synthetic City, ST",4363 Main St,Synthetic City,ST,50935,3392.1536076951957,30315.301667519325
11749ecf-e7b9-4e65-a363-b465d3520245,1968-10-27,,790-39-7782,Barbara,Brown,F,white,nonhispanic,"Synthetic City, ST",3306 Main St,Synthetic City,ST,94191,15703.147671118364,61303.878052177686
d24dcadf-123a-435c-b0be-ad970d051508,1948-01-24,,811-13-8336,Linda,Smith,F,black,hispanic,"Synthetic City, ST",3005 Main St,Synthetic City,ST,80640,3581.2938148451262,44070.523821814946
44253723-729b-4429-b9cc-d01c14dc37fd,2007-04-03,,713-20-1562,Jennifer,Jones,F,black,nonhispanic,"Synthetic City, ST",1907 Main St,Synthetic City,ST,38995,4919.004848749127,86808.8642503354
fb8a7300-c9d9-4ee8-902c-c16c4fcba23b,1935-06-27,,855-82-6762,Elizabeth,Brown,F,black,hispanic,"Synthetic City, ST",7775 Main St,Synthetic City,ST,18266,2385.1862360413506,27462.53398997004
3c543afc-62a9-4343-aa7f-a64a02ff9767,1935-03-25,,953-70-5827,Mary,Garcia,F,asian,nonhispanic,"Synthetic City, ST",5716 Main St,Synthetic City,ST,68685,12032.128539242274,97258.16184885374
296004da-fc2d-4548-982d-f32603587f8e,2006-09-12,,630-42-8773,Elizabeth,Garcia,F,white,nonhispanic,"Synthetic City, ST",7397 Main St,Synthetic City,ST,56051,2975.7533359641957,68035.53572700107
cc6f600b-4cee-4f92-beed-c5840bc34d98,1935-09-19,,258-62-7038,Richard,Brown,M,white,nonhispanic,"Synthetic City, ST",3077 Main St,Synthetic City,ST,78401,1704.0871024186608,94994.00795791834
c60b2ded-1929-470a-ba37-4d00123784af,1985-11-13,,319-55-5132,Jennifer,Miller,F,white,nonhispanic,"Synthetic City, ST",4723 Main St,Synthetic City,ST,81974,6210.8473633142885,97366.55722012816
